"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.698938292E0,1.292175164E0,-7.041971380E-1,-3.786703050E0,4.062601414E0
1.708905292E0,1.328012456E0,-4.661849092E-1,-4.941159182E0,5.137703720E0
1.718871292E0,9.212808663E-1,-7.336559951E-2,-6.570245503E0,6.634927800E0
1.728838292E0,7.124403964E-1,1.238302866E-1,-8.160109870E0,8.192087546E0
1.738805292E0,1.317496970E0,2.880474378E-1,-1.035737072E1,1.044480243E1
1.748772292E0,2.108004566E0,2.558510605E-1,-1.229069060E1,1.247277909E1
1.758738292E0,2.133413349E0,9.394299658E-1,-1.309928568E1,1.330508423E1
1.768705292E0,2.728616633E0,2.163435439E0,-1.477278335E1,1.517764572E1
1.778672292E0,3.044303128E0,3.287056133E0,-1.602644627E1,1.664089840E1
1.788638292E0,2.728304392E0,4.006933749E0,-1.687952814E1,1.756182317E1
1.798605292E0,2.169263651E0,4.044399784E0,-1.703097921E1,1.763851261E1
1.808572292E0,1.514727208E0,3.032428018E0,-1.672738242E1,1.706737650E1
1.818539292E0,1.209805071E0,1.112152989E0,-1.507328814E1,1.516260294E1
1.828505292E0,8.902758591E-1,-6.020211375E-1,-1.306415210E1,1.310828328E1
1.838472292E0,8.956077889E-1,-1.774855653E0,-1.022698366E1,1.041841738E1
1.848439292E0,6.269255984E-1,-2.171428437E0,-6.804373280E0,7.169911638E0
1.858405292E0,5.643288159E-1,-2.423659632E0,-4.593358024E0,5.224129684E0
1.868372292E0,3.132439671E-1,-2.798710423E0,-7.666760990E0,8.167626699E0
1.878339292E0,2.232832387E-1,-2.475933301E0,-7.753122026E0,8.141928658E0
1.888306292E0,7.145698062E-1,-2.355331116E0,-6.574942571E0,7.020545882E0
1.898272292E0,1.197859429E0,-2.489488901E0,-6.309402966E0,6.887741865E0
1.908239292E0,2.193284890E0,-2.681946496E0,-6.402606415E0,7.279883551E0
1.918206292E0,2.911131915E0,-2.123275008E0,-5.481509151E0,6.559720143E0
1.928172292E0,2.581758549E0,-1.176521185E0,-7.232223989E0,7.768831517E0
1.938139292E0,2.465242399E-1,-7.728108515E-1,-8.889150658E0,8.926085942E0
1.948106292E0,-1.030050260E0,-1.234810616E-1,-9.518057293E0,9.574427698E0
1.958073292E0,-1.046444026E-1,6.685716610E-1,-6.547441946E0,6.582319846E0
1.968039292E0,1.965738008E0,-5.505548224E-2,-3.708225229E0,4.197391020E0
1.978006292E0,2.329152986E0,5.956663835E-1,-2.370765865E0,3.376433453E0
1.987973292E0,2.232808560E0,1.332370094E0,2.635776297E0,3.702426342E0
1.997940292E0,3.476388976E0,6.224108170E-1,9.348570485E0,9.993420118E0
2.007906292E0,3.604930364E0,-2.652358416E-1,1.332269843E1,1.380435317E1
2.017873292E0,2.451530970E0,1.773011441E0,1.203970939E1,1.241403141E1
2.027840292E0,1.160436664E0,5.104640315E0,1.246634563E1,1.352086312E1
2.037806292E0,1.963609914E0,5.181367478E0,1.732342302E1,1.818799929E1
2.047773292E0,3.167741944E0,3.522246642E0,2.079101720E1,2.132386472E1
2.057740292E0,3.683111438E0,2.504994548E0,2.331282308E1,2.373453238E1
2.067707292E0,2.459763704E0,1.618062712E0,2.505246563E1,2.522488055E1
2.077673292E0,3.734631255E-1,8.566841899E-1,2.603519079E1,2.605195851E1
2.087640292E0,-1.319243241E0,1.246059197E-1,2.574166524E1,2.577574943E1
2.097607292E0,-2.554794407E0,4.859157537E-1,2.388289854E1,2.402406983E1
2.107573292E0,-2.948215249E0,1.622626025E0,2.104457352E1,2.131194414E1
2.117540292E0,-2.930304642E0,2.453878773E0,1.749158076E1,1.790429009E1
2.127507292E0,-2.845447218E0,3.169575630E0,1.241099121E1,1.312156555E1
2.137474292E0,-2.361739519E0,3.259143280E0,6.849326674E0,7.944375643E0
2.147440292E0,-1.653515549E0,2.244252292E0,1.970512260E0,3.413751688E0
2.157407292E0,-8.518491273E-1,1.173253176E0,-1.882364314E0,2.376018805E0
2.167374292E0,-7.259151587E-1,2.484797680E-1,-4.330358450E0,4.397806194E0
2.177341292E0,-1.502301290E0,-6.069392306E-1,-6.162970560E0,6.372400687E0
2.187307292E0,-2.535696231E0,-1.493529443E0,-9.043148777E0,9.509938242E0
2.197274292E0,-3.444073754E0,-2.437445174E0,-1.179922978E1,1.253094595E1
2.207241292E0,-4.268885502E0,-3.481048330E0,-1.322022949E1,1.432185562E1
2.217207292E0,-5.638222132E0,-4.325432171E0,-1.429235156E1,1.596152328E1
2.227174208E0,-7.549624888E0,-4.195083408E0,-1.438425575E1,1.677803249E1
2.237141208E0,-8.610551298E0,-3.406743960E0,-1.320582195E1,1.612889430E1
2.247108208E0,-8.706763138E0,-3.492186399E0,-1.266045214E1,1.575722497E1
2.257074208E0,-8.057733895E0,-3.740253645E0,-1.222208872E1,1.510946808E1
2.267041208E0,-6.851667899E0,-3.511227856E0,-1.184168291E1,1.412443019E1
2.277008208E0,-5.511351001E0,-3.167196398E0,-1.143391212E1,1.308206670E1
2.286975208E0,-4.657653130E0,-2.818352682E0,-1.099742566E1,1.227111306E1
2.296941208E0,-4.016972834E0,-2.233161878E0,-1.095033335E1,1.187572664E1
2.306908208E0,-3.488283090E0,-1.850626212E0,-1.086909682E1,1.156417753E1
2.316875208E0,-3.113428034E0,-1.733419359E0,-1.045479586E1,1.104540326E1
2.326841208E0,-2.840516553E0,-1.497157641E0,-9.850186744E0,1.036031825E1
2.336808208E0,-2.555931982E0,-1.354498735E0,-9.529354114E0,9.958717033E0
2.346775208E0,-2.324042519E0,-8.093408927E-1,-8.563709253E0,8.910293064E0
2.356742208E0,-2.274082447E0,-2.472590156E-1,-7.564686146E0,7.902978204E0
2.366708208E0,-1.851637781E0,-5.646983600E-1,-6.599583907E0,6.877641635E0
2.376675208E0,-1.136468635E0,-6.642539307E-1,-5.897296470E0,6.042425001E0
2.386642208E0,-6.944814044E-1,-6.640342216E-1,-4.752465439E0,4.848625952E0
2.396608208E0,-8.974131167E-2,-7.308268198E-1,-3.187199723E0,3.271147111E0
2.406575208E0,5.152063572E-1,-7.777682671E-1,-2.268603898E0,2.452942053E0
2.416542208E0,6.745312893E-1,-1.115937014E0,-2.504990455E0,2.824054720E0
2.426509208E0,8.474638617E-1,-1.134565951E-1,-1.651717969E0,1.859903128E0
2.436475208E0,1.403788424E0,9.240451375E-1,-9.555063736E-1,1.933254713E0
2.446442208E0,2.168537719E0,-5.163345775E-1,3.508602456E0,4.156855595E0
2.456409208E0,2.995159619E0,-7.091589390E-1,5.969638807E0,6.716433207E0
2.466376208E0,2.955904337E0,5.975319377E-1,6.380886347E0,7.057628883E0
2.476342208E0,2.507117964E0,1.561061130E0,8.299419783E0,8.809252016E0
2.486309208E0,2.063027929E0,1.942041143E0,1.076848728E1,1.113498659E1
2.496276208E0,2.140944855E0,2.519460852E0,1.328710058E1,1.369227409E1
2.506243208E0,2.044974358E0,2.487667786E0,1.599899359E1,1.631987154E1
2.516209208E0,1.945940213E0,2.009182236E0,1.779628501E1,1.801475109E1
2.526176208E0,1.861360238E0,1.774994232E0,1.886365798E1,1.903819473E1
2.536143208E0,2.039270546E0,1.859985850E0,1.939189544E1,1.958733725E1
2.546109208E0,2.313476893E0,2.052881402E0,1.878942173E1,1.904229152E1
2.556076208E0,2.826168070E0,2.368371284E0,1.756874997E1,1.795152874E1
2.566043208E0,3.078747906E0,3.344752949E0,1.536782993E1,1.602611175E1
2.576010208E0,3.637019591E0,3.470951650E0,1.389136120E1,1.477312875E1
2.585976208E0,3.794657602E0,3.844066574E0,1.184883522E1,1.302194956E1
2.595943208E0,3.434973732E0,4.045619805E0,1.040494484E1,1.168028087E1
2.605910208E0,3.027448237E0,4.013773237E0,9.238756852E0,1.051810090E1
2.615877208E0,2.455728248E0,3.562965482E0,8.113612227E0,9.195435151E0
2.625843208E0,1.504210114E0,2.876435122E0,6.843286500E0,7.574107023E0
2.635810208E0,4.720332943E-1,2.236415268E0,5.612237105E0,6.059832837E0
2.645777208E0,-3.894859582E-1,1.489606546E0,4.355620176E0,4.619746107E0
2.655743208E0,-8.417233577E-1,6.468093476E-1,2.912348428E0,3.099779655E0
2.665710208E0,-7.206912562E-1,-6.215463062E-1,1.651402220E0,1.906002358E0
2.675677208E0,-1.476368012E0,-5.036695084E-1,-2.234602339E0,2.725214321E0
2.685644208E0,-3.803621091E-1,-1.970445309E0,-2.869179019E0,3.501359492E0
2.695610208E0,-1.063083155E0,-2.439249771E0,-5.486574594E0,6.097752538E0
2.705577208E0,-2.089006962E0,-1.317939604E0,-7.714426907E0,8.100203540E0
2.715544208E0,-2.550121312E0,-1.778316035E0,-8.839841089E0,9.370609217E0
2.725511208E0,-3.068973408E0,-1.948550118E0,-9.981470768E0,1.062286233E1
2.735477208E0,-3.792145053E0,-1.364672744E0,-1.090849535E1,1.162918599E1
2.745444208E0,-4.324217704E0,-7.879669806E-1,-1.162368818E1,1.242698184E1
2.755411208E0,-4.473475192E0,-8.123741359E-1,-1.152163907E1,1.238628672E1
2.765378208E0,-3.556725041E0,-3.048329521E0,-1.097412684E1,1.193206042E1
2.775344208E0,-3.520178774E0,-2.545628896E0,-1.179914324E1,1.257345085E1
2.785311208E0,-4.142879467E0,-1.666216725E0,-1.251753450E1,1.329016171E1
2.795278208E0,-3.420895391E0,-2.668385341E0,-1.171465799E1,1.249223829E1
2.805244208E0,-3.491053208E0,-2.485390588E0,-1.268781009E1,1.339198058E1
2.815211208E0,-3.352504895E0,-2.465805632E0,-1.218132895E1,1.287261673E1
2.825178208E0,-3.201220177E0,-2.372215975E0,-1.187761522E1,1.252808694E1
2.835145208E0,-2.816909589E0,-2.650184129E0,-1.103059691E1,1.168899156E1
2.845111208E0,-2.549095418E0,-2.840720328E0,-1.026138868E1,1.094822712E1
2.855078208E0,-2.437742797E0,-3.059495656E0,-9.444424476E0,1.022253674E1
2.865045208E0,-2.595586337E0,-2.980559122E0,-8.261991756E0,9.158673970E0
2.875012208E0,-2.706373824E0,-2.804626343E0,-7.431766655E0,8.391754514E0
2.884978208E0,-2.486363857E0,-2.991693975E0,-6.798072320E0,7.832370353E0
2.894945208E0,-2.319462688E0,-2.783210916E0,-5.721266627E0,6.771931924E0
