"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.355084910E-1,3.485873699E0,-4.960413456E0,-1.047208309E0,6.152533002E0
9.404567730E-1,3.280627489E0,-5.155035496E0,-1.295342445E-1,6.111766259E0
9.454050020E-1,2.666134596E0,-5.315058708E0,9.478058815E-1,6.021333635E0
9.503532310E-1,1.494874001E0,-5.430421352E0,1.914232254E0,5.948815804E0
9.553014600E-1,1.709265709E-1,-5.318815231E0,2.407497883E0,5.840809654E0
9.602496890E-1,-1.064273834E0,-5.026286602E0,2.646586418E0,5.779330019E0
9.651979190E-1,-2.192131519E0,-4.658463478E0,2.612931728E0,5.773572100E0
9.701461480E-1,-2.986502171E0,-4.224280834E0,2.206911564E0,5.624429076E0
9.750943770E-1,-3.314442635E0,-3.773297787E0,1.584830284E0,5.266402301E0
9.800426060E-1,-3.293962955E0,-3.263193130E0,8.943920135E-1,4.722134944E0
9.849908350E-1,-3.062554359E0,-2.930889368E0,1.769952774E-1,4.242720710E0
9.899390640E-1,-2.717940807E0,-2.811510086E0,-4.078907967E-1,3.931687436E0
9.948872940E-1,-2.166403770E0,-2.773426056E0,-6.695613861E-1,3.582388845E0
9.998355230E-1,-1.543100357E0,-2.763484478E0,-7.413606644E-1,3.250787721E0
1.004783752E0,-1.081964016E0,-2.774503231E0,-6.711485386E-1,3.052696295E0
1.009731981E0,-8.534755707E-1,-2.786065817E0,-3.626651764E-1,2.936342847E0
1.014680210E0,-9.233899117E-1,-2.825551271E0,7.716703415E-2,2.973607854E0
1.019628439E0,-1.264979362E0,-2.823217154E0,5.432276726E-1,3.140990956E0
1.024576669E0,-2.200629234E0,-2.829349995E0,1.062119961E0,3.738460810E0
1.029524898E0,-3.720833302E0,-2.772739887E0,1.515472412E0,4.881530864E0
1.034473127E0,-5.504557610E0,-2.482323170E0,1.779158831E0,6.295036850E0
1.039421356E0,-7.237277031E0,-2.001226425E0,1.764637947E0,7.713431993E0
1.044369585E0,-8.617646217E0,-1.421775341E0,1.295705557E0,8.829729573E0
1.049317814E0,-9.593038559E0,-8.159446716E-1,6.578590870E-1,9.650126065E0
1.054265939E0,-1.005599308E1,-3.237192631E-1,2.168655396E-2,1.006122564E1
1.059214221E0,-1.001854229E1,4.735112190E-2,-3.826735020E-1,1.002595984E1
1.064162450E0,-9.595100403E0,3.087248802E-1,-6.142609119E-1,9.619697462E0
1.069110679E0,-8.977881432E0,4.076588154E-1,-7.402534485E-1,9.017567071E0
1.074058908E0,-8.255264282E0,4.601612091E-1,-6.619777679E-1,8.294537436E0
1.079007137E0,-7.479152679E0,5.191099644E-1,-2.686562538E-1,7.501958154E0
1.083955366E0,-6.689302444E0,5.703268051E-1,3.905014992E-1,6.724918682E0
1.088903596E0,-6.089273453E0,4.703509808E-1,1.164796114E0,6.217493966E0
1.093851825E0,-5.672278404E0,3.005878925E-1,1.979975700E0,6.015430089E0
1.098800054E0,-5.491415977E0,2.803049088E-1,2.785332918E0,6.163789398E0
1.103748283E0,-5.470980644E0,4.366405010E-1,3.400820255E0,6.456613861E0
1.108696512E0,-5.621639252E0,5.958738327E-1,3.753165722E0,6.785583721E0
1.113644741E0,-5.909055710E0,7.622463703E-1,3.833645105E0,7.084828417E0
1.118592971E0,-6.201256752E0,9.110877514E-1,3.697727203E0,7.277283330E0
1.123541200E0,-6.460148811E0,1.078070402E0,3.469536543E0,7.411709808E0
1.128489429E0,-6.616669655E0,1.298804522E0,3.161113739E0,7.447137073E0
1.133437658E0,-6.797757149E0,1.601511240E0,2.817061424E0,7.530615883E0
1.138385887E0,-7.145960808E0,2.062247753E0,1.968669891E0,7.693717099E0
1.143334012E0,-7.428919792E0,2.042596340E0,1.882937193E0,7.931361898E0
1.148282346E0,-7.389313698E0,1.768784761E0,1.920260668E0,7.836960986E0
1.153230471E0,-7.147806168E0,1.642217875E0,1.931548357E0,7.584121018E0
1.158178752E0,-6.747757912E0,1.553207159E0,1.727818251E0,7.136528934E0
1.163126981E0,-6.266213417E0,1.779511213E0,1.733299017E0,6.740653991E0
1.168075210E0,-5.917244911E0,2.078306675E0,1.917253971E0,6.558125400E0
1.173023439E0,-5.750007629E0,2.182075024E0,2.238902092E0,6.544976831E0
1.177971669E0,-5.739256859E0,2.183207989E0,2.518621683E0,6.636936160E0
1.182919898E0,-5.655704498E0,2.144383430E0,2.548862696E0,6.563693679E0
1.187868127E0,-5.287401199E0,2.139945984E0,2.426661730E0,6.198763377E0
1.192816356E0,-4.829229355E0,2.154670238E0,2.181939363E0,5.720569848E0
1.197764585E0,-4.274531364E0,2.184607506E0,1.859196424E0,5.147886915E0
1.202712814E0,-3.774027824E0,2.261207819E0,1.545192003E0,4.663042477E0
1.207661044E0,-3.420555115E0,2.362959623E0,1.142386198E0,4.311475583E0
1.212609273E0,-3.007077217E0,2.340702057E0,5.904650688E-1,3.856170186E0
1.217557502E0,-2.598652840E0,2.121758938E0,1.141703129E-1,3.356768153E0
1.222505731E0,-2.317596436E0,1.924415112E0,-2.500004768E-1,3.022768102E0
1.227453960E0,-2.215843201E0,1.772118807E0,-5.623377562E-1,2.892505818E0
1.232402189E0,-2.190506935E0,1.687956095E0,-5.818331242E-1,2.825959341E0
1.237350419E0,-2.302221298E0,1.699000597E0,-8.633607626E-1,2.988681606E0
