"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.688605910E-1,-1.045235729E1,-1.406318665E0,-6.294357777E0,1.228203749E1
6.738084550E-1,-1.050325489E1,-1.332370758E0,-6.367560387E0,1.235473190E1
6.787564760E-1,-1.045323277E1,-1.211943865E0,-6.302653790E0,1.226630865E1
6.837044450E-1,-1.026202965E1,-1.012855053E0,-6.206812859E0,1.203576561E1
6.886523090E-1,-9.913292885E0,-6.548545361E-1,-5.993317127E0,1.160267471E1
6.936003300E-1,-9.239392281E0,-3.355891705E-1,-5.637163639E0,1.082850884E1
6.985481950E-1,-8.217686653E0,-1.488904953E-1,-5.743706703E0,1.002709873E1
7.034962160E-1,-7.081475258E0,8.285260201E-2,-6.091493607E0,9.341330245E0
7.084441840E-1,-6.302177429E0,6.813285351E-1,-5.888754845E0,8.652114339E0
7.133920490E-1,-5.091399193E0,9.945998192E-1,-5.493064404E0,7.555483511E0
7.183400700E-1,-3.949122429E0,1.115354300E0,-5.524795532E0,6.882074458E0
7.232880390E-1,-3.127565384E0,1.272121906E0,-5.336873055E0,6.315233438E0
7.282359030E-1,-2.292083740E0,1.289721489E0,-5.144380569E0,5.777688191E0
7.331839240E-1,-1.727795601E0,1.290066957E0,-4.928376675E0,5.379446723E0
7.381317890E-1,-1.301839828E0,1.363767385E0,-4.387348652E0,4.775298589E0
7.430798090E-1,-7.895736694E-1,1.391187906E0,-3.792443752E0,4.116000484E0
7.480277780E-1,-4.483289719E-1,1.520101309E0,-3.246297359E0,3.612499606E0
7.529756430E-1,-2.313499451E-1,1.696771860E0,-2.619414806E0,3.129519367E0
7.579236640E-1,-1.423788071E-1,1.882499218E0,-1.974036455E0,2.731463885E0
7.628716320E-1,-3.866682053E-1,2.099188089E0,-1.378926754E0,2.541169402E0
7.678194970E-1,-8.757600784E-1,2.235876799E0,-9.061427712E-1,2.566553233E0
7.727675180E-1,-1.478644371E0,2.267484426E0,-4.747545421E-1,2.748320701E0
7.777153820E-1,-1.716378212E0,2.287514210E0,-2.921554446E-2,2.859987583E0
7.826634030E-1,-1.391620636E0,2.277262926E0,3.207961023E-1,2.688018707E0
7.876113720E-1,-7.797365189E-1,2.211884022E0,3.333692253E-1,2.368872096E0
7.925592360E-1,-1.163558960E-1,2.064697742E0,8.096039295E-2,2.069557935E0
7.975072570E-1,6.806821823E-1,1.835712910E0,-3.798556328E-2,1.958216797E0
8.024552260E-1,1.309827328E0,1.679517984E0,-1.720467210E-2,2.129958753E0
8.074030910E-1,1.886204720E0,1.459759951E0,-1.828365922E-1,2.392090420E0
8.123511110E-1,1.665936470E0,1.254466772E0,-3.143589497E-1,2.108993303E0
8.172989760E-1,8.923549652E-1,1.025062561E0,-4.112172723E-1,1.419912069E0
8.222469970E-1,9.222440720E-1,9.303836823E-1,-4.502206743E-1,1.385224379E0
8.271949660E-1,1.986010551E0,1.172874689E0,-7.963714600E-1,2.440098451E0
8.321428300E-1,2.839539528E0,1.568859816E0,-1.848260880E0,3.733681043E0
8.370908510E-1,3.400304317E0,2.040351629E0,-3.120736122E0,5.046196406E0
8.420387160E-1,3.738281250E0,2.557380676E0,-4.169255733E0,6.156105587E0
8.469867360E-1,4.184724808E0,3.044335365E0,-4.876953125E0,7.110876972E0
8.519347050E-1,4.300492764E0,3.258326054E0,-5.488741398E0,7.696571237E0
8.568825700E-1,4.061493397E0,3.075681448E0,-5.749176502E0,7.681703941E0
8.618305910E-1,3.503892422E0,2.656128883E0,-5.699378490E0,7.198277428E0
8.667784550E-1,2.814210415E0,2.069680691E0,-5.647342205E0,6.640469291E0
8.717264760E-1,2.032348156E0,1.389421701E0,-5.431680202E0,5.963562820E0
8.766744450E-1,1.440913200E0,7.616028786E-1,-5.058955193E0,5.315006814E0
8.816223090E-1,8.872876167E-1,2.274861336E-1,-4.588103771E0,4.678645688E0
8.865703300E-1,5.742311478E-1,-2.098412514E-1,-3.740790844E0,3.790420940E0
8.915181950E-1,2.814836502E-1,-6.058506966E-1,-2.783259869E0,2.862310886E0
8.964662160E-1,-3.621625900E-1,-9.110832214E-1,-1.840184927E0,2.085069530E0
9.014141840E-1,-1.264252663E0,-1.068655491E0,-1.295664907E0,2.102167192E0
9.063620490E-1,-1.594855309E0,-1.115058422E0,-7.557332516E-1,2.087594665E0
9.113100700E-1,-1.548268318E0,-1.228805542E0,-1.698974371E-1,1.983926154E0
9.162580390E-1,-1.708072662E0,-1.182435989E0,2.083794177E-1,2.087843162E0
9.212059030E-1,-1.928270340E0,-9.187207222E-1,2.593100071E-3,2.135949670E0
9.261539240E-1,-1.563302040E0,-5.766911507E-1,-1.869003773E-1,1.676728273E0
9.311017890E-1,-1.451708794E0,-3.410353661E-1,-3.467070460E-1,1.531002717E0
9.360498090E-1,-1.246883392E0,-8.578300476E-3,-8.798096180E-1,1.526059221E0
9.409977780E-1,-7.663412094E-1,3.281469345E-1,-1.415548682E0,1.642783410E0
9.459456430E-1,-3.849306107E-1,5.826120377E-1,-2.056619883E0,2.171933172E0
9.508936640E-1,-8.380508423E-2,7.685666084E-1,-2.485848904E0,2.603298426E0
9.558415280E-1,-5.301475525E-3,7.884104252E-1,-2.648883581E0,2.763729967E0
9.607895490E-1,2.463569641E-1,7.252631187E-1,-2.651416302E0,2.759838175E0
