"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.037567000E0,2.496200920E0,2.733383283E-1,4.035303855E-1,2.543338288E0
1.047535000E0,2.347209772E0,3.672687314E-1,1.317454285E0,2.716609252E0
1.057502000E0,1.336076790E0,7.332605772E-1,2.582373092E0,2.998570167E0
1.067470000E0,9.738976210E-1,7.690059952E-1,3.363385686E0,3.584997918E0
1.077437000E0,-3.993940651E-2,8.240562880E-1,4.109176408E0,4.191180582E0
1.087405000E0,-1.256210548E0,1.746451122E-1,4.111595986E0,4.302765089E0
1.097372000E0,-1.585438026E0,-7.704444833E-1,4.150329112E0,4.509149606E0
1.107340000E0,-1.767364785E0,-1.204211844E0,4.362585379E0,4.858585765E0
1.117307000E0,-1.900864320E0,-1.461253398E0,3.817133714E0,4.507666408E0
1.127275000E0,-1.950749255E0,-3.439474042E-1,9.884355533E-1,2.213758640E0
1.137242000E0,-1.264499561E0,1.536412046E0,-9.616056043E-1,2.210024084E0
1.147210000E0,-3.924557590E-1,2.224193126E0,-1.476282204E0,2.698233817E0
1.157177000E0,-8.042962074E-2,1.956919822E0,-7.511064255E-1,2.097657021E0
1.167145000E0,-1.530251420E-1,1.954480364E0,2.408655238E-1,1.975202872E0
1.177112000E0,1.445604787E0,2.808917322E0,9.054980618E-1,3.286292206E0
1.187080000E0,-1.097399586E-1,3.162195567E0,-1.081371199E0,3.343783386E0
1.197047000E0,-9.808154619E-1,3.919042497E0,-2.087474114E0,4.547355412E0
1.207015000E0,-8.781266606E-1,2.536810125E0,-4.727269202E-1,2.725799476E0
1.216982000E0,-1.007975779E0,-7.368446280E-1,1.479361348E0,1.935837073E0
1.226950000E0,-6.260157716E-1,-1.740279605E0,1.691675502E0,2.506438680E0
1.236917000E0,4.551677316E-1,-1.236265257E0,1.911685177E0,2.321652357E0
1.246885000E0,1.764907785E0,-1.300182779E0,2.108167410E0,3.041339274E0
